,Ville,Secteur,Type,Surface habitable m²,Surface totale m²,Âge du bien,Salons,Chambres,Salle de bain,Garage,Jardin,Piscine,Balcon,Prix / m²,Prix
245,Casablanca,Aïn Chock,Maisons et villas,128,64,21+ ans,1,4,2,Non,Non,Non,Non,9375.0,600000.0
246,Casablanca,Aïn Chock,Maisons et villas,64,64,21+ ans,2,5,3,Non,Non,Non,Non,14062.5,900000.0
247,Casablanca,Aïn Chock,Maisons et villas,65,65,Neuf,1,2,1,Non,Oui,Oui,Oui,7692.31,500000.0
248,Casablanca,Aïn Chock,Maisons et villas,665,65,Neuf,1,2,1,Non,Oui,Oui,Oui,7692.31,500000.0
249,Casablanca,Aïn Chock,Maisons et villas,68,68,11-20 ans,3,4,4,Oui,Non,Non,Non,25000.0,1700000.0
250,Casablanca,Aïn Chock,Maisons et villas,70,70,21+ ans,1,5,1,Non,Non,Non,Non,25714.29,1800000.0
251,Casablanca,Aïn Chock,Appartements,67,70,11-20 ans,1,3,2,Non,Non,Non,Non,17142.86,1200000.0
252,Casablanca,Aïn Chock,Maisons et villas,75,70,21+ ans,1,5,1,Non,Non,Non,Non,25714.29,1800000.0
253,Casablanca,Aïn Chock,Appartements,73,73,Neuf,1,2,1,Non,Non,Non,Non,9452.05,690000.0
254,Casablanca,Aïn Chock,Appartements,74,74,1-5 ans,1,3,1,Non,Non,Non,Oui,10000.0,740000.0
255,Casablanca,Aïn Chock,Maisons et villas,79,80,21+ ans,1,2,1,Oui,Non,Non,Non,62500.0,5000000.0
256,Casablanca,Aïn Chock,Appartements,82,82,11-20 ans,1,2,2,Non,Non,Non,Non,11951.22,980000.0
257,Casablanca,Aïn Chock,Maisons et villas,84,84,21+ ans,1,3,0,Non,Non,Non,Non,13095.24,1100000.0
258,Casablanca,Aïn Chock,Maisons et villas,99,99,21+ ans,3,9,3,Oui,Non,Non,Oui,13131.31,1300000.0
259,Casablanca,Aïn Chock,Maisons et villas,100,100,11-20 ans,4,3,4,Non,Non,Non,Non,27000.0,2700000.0
260,Casablanca,Aïn Chock,Maisons et villas,100,100,11-20 ans,4,6,2,Oui,Non,Non,Non,38000.0,3800000.0
261,Casablanca,Aïn Chock,Maisons et villas,100,100,21+ ans,2,5,2,Oui,Non,Non,Oui,39000.0,3900000.0
262,Casablanca,Aïn Chock,Maisons et villas,100,100,21+ ans,5,6,2,Oui,Non,Non,Non,36000.0,3600000.0
263,Casablanca,Aïn Chock,Maisons et villas,110,100,11-20 ans,3,6,4,Non,Non,Non,Non,35000.0,3500000.0
264,Casablanca,Aïn Chock,Maisons et villas,100,100,11-20 ans,3,5,3,Oui,Non,Non,Non,25000.0,2500000.0
265,Casablanca,Aïn Chock,Maisons et villas,360,100,21+ ans,3,8,3,Non,Non,Non,Non,26000.0,2600000.0
266,Casablanca,Aïn Chock,Maisons et villas,90,100,21+ ans,2,10+,2,Oui,Non,Non,Non,30000.0,3000000.0
267,Casablanca,Aïn Chock,Maisons et villas,400,100,11-20 ans,5,4,5,Non,Non,Non,Non,40000.0,4000000.0
268,Casablanca,Aïn Chock,Maisons et villas,110,100,11-20 ans,4,6,4,Oui,Non,Non,Oui,32000.0,3200000.0
269,Casablanca,Aïn Chock,Maisons et villas,100,100,11-20 ans,2,5,2,Oui,Non,Non,Non,28000.0,2800000.0
270,Casablanca,Aïn Chock,Maisons et villas,100,100,21+ ans,1,3,1,Non,Non,Non,Oui,11000.0,1100000.0
271,Casablanca,Aïn Chock,Maisons et villas,107,100,21+ ans,2,3,2,Oui,Non,Non,Oui,30000.0,3000000.0
272,Casablanca,Aïn Chock,Maisons et villas,100,100,21+ ans,1,2,3,Non,Non,Non,Non,28000.0,2800000.0
273,Casablanca,Aïn Chock,Maisons et villas,100,100,11-20 ans,3,6,3,Non,Non,Non,Non,28000.0,2800000.0
274,Casablanca,Aïn Chock,Maisons et villas,100,100,6-10 ans,4,5,3,Oui,Non,Non,Non,40000.0,4000000.0
275,Casablanca,Aïn Chock,Appartements,105,105,6-10 ans,1,2,2,Non,Non,Non,Non,11809.52,1240000.0
276,Casablanca,Aïn Chock,Maisons et villas,107,107,11-20 ans,5,10,4,Oui,Non,Non,Oui,28037.38,3000000.0
277,Casablanca,Aïn Chock,Appartements,72,109,6-10 ans,1,2,1,Non,Non,Non,Non,10091.74,1100000.0
278,Casablanca,Aïn Chock,Appartements,110,110,1-5 ans,2,3,2,Non,Non,Non,Non,8545.45,940000.0
279,Casablanca,Aïn Chock,Maisons et villas,100,110,21+ ans,2,6,4,Oui,Non,Non,Oui,21818.18,2400000.0
280,Casablanca,Aïn Chock,Maisons et villas,116,116,21+ ans,3,3,3,Oui,Non,Non,Oui,25862.07,3000000.0
281,Casablanca,Aïn Chock,Maisons et villas,116,116,21+ ans,2,4,2,Oui,Non,Non,Non,27586.21,3200000.0
282,Casablanca,Aïn Chock,Maisons et villas,119,119,21+ ans,1,9,6,Oui,Non,Non,Non,45378.15,5400000.0
283,Casablanca,Aïn Chock,Maisons et villas,120,120,Neuf,4,5,4,Oui,Non,Non,Oui,20833.33,2500000.0
284,Casablanca,Aïn Chock,Maisons et villas,120,120,11-20 ans,3,4,3,Oui,Non,Non,Oui,21666.67,2600000.0
285,Casablanca,Aïn Chock,Maisons et villas,120,120,21+ ans,4,8,4,Non,Non,Non,Non,13333.33,1600000.0
286,Casablanca,Aïn Chock,Maisons et villas,90,120,11-20 ans,3,5,3,Oui,Oui,Non,Oui,19583.33,2350000.0
287,Casablanca,Aïn Chock,Maisons et villas,100,120,21+ ans,3,4,3,Oui,Oui,Non,Oui,23333.33,2800000.0
288,Casablanca,Aïn Chock,Maisons et villas,120,120,1-5 ans,2,5,2,Oui,Non,Non,Oui,23333.33,2800000.0
289,Casablanca,Aïn Chock,Maisons et villas,120,120,11-20 ans,4,5,3,Oui,Oui,Non,Oui,27916.67,3350000.0
290,Casablanca,Aïn Chock,Maisons et villas,121,121,6-10 ans,3,5,3,Non,Non,Non,Non,26446.28,3200000.0
291,Casablanca,Aïn Chock,Maisons et villas,122,122,1-5 ans,3,4,3,Non,Non,Non,Non,40983.61,5000000.0
292,Casablanca,Aïn Chock,Maisons et villas,100,123,1-5 ans,4,2,2,Non,Non,Non,Non,28455.28,3500000.0
293,Casablanca,Aïn Chock,Appartements,55,55,Neuf,1,2,1,Non,Non,Non,Non,10909.09,600000.0
294,Casablanca,Aïn Chock,Maisons et villas,127,127,6-10 ans,6,9,4,Oui,Non,Non,Oui,25984.25,3300000.0
295,Casablanca,Aïn Chock,Appartements,135,135,11-20 ans,2,3,3,Non,Non,Non,Non,12222.22,1650000.0
296,Casablanca,Aïn Chock,Maisons et villas,140,140,11-20 ans,1,8,4,Non,Non,Non,Non,24285.71,3400000.0
297,Casablanca,Aïn Chock,Maisons et villas,141,141,11-20 ans,3,4,3,Oui,Non,Non,Non,22695.04,3200000.0
298,Casablanca,Aïn Chock,Appartements,71,71,6-10 ans,1,2,2,Non,Non,Non,Oui,8380.28,595000.0
299,Casablanca,Aïn Chock,Maisons et villas,160,160,6-10 ans,2,3,3,Oui,Oui,Non,Oui,22500.0,3600000.0
300,Casablanca,Aïn Chock,Maisons et villas,320,160,21+ ans,1,2,3,Oui,Oui,Non,Oui,20625.0,3300000.0
301,Casablanca,Aïn Chock,Maisons et villas,165,165,6-10 ans,4,4,4,Oui,Oui,Non,Oui,21818.18,3600000.0
302,Casablanca,Aïn Chock,Appartements,73,73,Neuf,1,2,1,Non,Non,Non,Non,9452.05,690000.0
303,Casablanca,Aïn Chock,Maisons et villas,120,166,11-20 ans,3,5,3,Oui,Oui,Non,Oui,21987.95,3650000.0
304,Casablanca,Aïn Chock,Maisons et villas,170,170,Neuf,3,4,3,Oui,Oui,Non,Oui,17647.06,3000000.0
305,Casablanca,Aïn Chock,Maisons et villas,160,180,21+ ans,1,7,2,Oui,Non,Non,Oui,17777.78,3200000.0
306,Casablanca,Aïn Chock,Maisons et villas,200,200,11-20 ans,3,4,3,Oui,Oui,Non,Oui,18500.0,3700000.0
307,Casablanca,Aïn Chock,Maisons et villas,220,220,21+ ans,3,3,3,Non,Non,Non,Non,5454.55,1200000.0
308,Casablanca,Aïn Chock,Maisons et villas,240,240,11-20 ans,3,5,4,Non,Non,Non,Non,17500.0,4200000.0
309,Casablanca,Aïn Chock,Appartements,80,80,Neuf,1,2,2,Non,Non,Non,Oui,14500.0,1160000.0
310,Casablanca,Aïn Chock,Maisons et villas,396,250,Neuf,2,7,2,Oui,Oui,Non,Oui,21400.0,5350000.0
311,Casablanca,Aïn Chock,Maisons et villas,64,256,21+ ans,4,3,2,Non,Non,Non,Non,3593.75,920000.0
312,Casablanca,Aïn Chock,Maisons et villas,160,257,11-20 ans,3,6,3,Oui,Oui,Non,Oui,14785.99,3800000.0
313,Casablanca,Aïn Chock,Maisons et villas,260,260,11-20 ans,1,2,3,Oui,Non,Non,Non,17307.69,4500000.0
314,Casablanca,Aïn Chock,Maisons et villas,88,264,21+ ans,2,2,1,Oui,Oui,Non,Non,10795.45,2850000.0
